,$schema,id,type,namespace,title,comment,timestamp,user,bot,minor,patrolled,server_url,server_name,server_script_path,wiki,parsedcomment,meta_domain,meta_uri,meta_request_id,meta_stream,meta_topic,meta_dt,meta_partition,meta_offset,meta_id,length_old,length_new,revision_old,revision_new
0,/mediawiki/recentchange/1.0.0,1389063095,edit,0,Q104971167,"/* wbeditentity-update-languages-short:0||nl */ nl-description, [[User:Edoderoobot/Set-nl-description|python code]] - chemische samenstelling",1611249080,Edoderoobot,TRUE,FALSE,TRUE,https://www.wikidata.org,www.wikidata.org,/w,wikidatawiki,"‎<span dir=""auto""><span class=""autocomment"">Changed label, description and/or aliases in nl: </span></span> nl-description, <a href=""/wiki/User:Edoderoobot/Set-nl-description"" title=""User:Edoderoobot/Set-nl-description"">python code</a> - chemische samenstelling",www.wikidata.org,https://www.wikidata.org/wiki/Q104971167,YAm1uApAIIEAACcb76EAAAAA,mediawiki.recentchange,eqiad.mediawiki.recentchange,2021-01-21T17:11:20Z,0,2887301727,a62392d6-25d3-405c-9d6c-54956eb60a52,3781,3860,1345581201,1345601868
0,/mediawiki/recentchange/1.0.0,116494285,edit,0,Acanthastrea erythraea,[[Wikipedia:Geen samenvatting|Verwijst door]] naar [[Lobophyllia erythraea]],1611249078,Kvdrgeus,FALSE,FALSE,FALSE,https://nl.wikipedia.org,nl.wikipedia.org,/w,nlwiki,"<a href=""/wiki/Wikipedia:Geen_samenvatting"" title=""Wikipedia:Geen samenvatting"">Verwijst door</a> naar <a href=""/wiki/Lobophyllia_erythraea"" title=""Lobophyllia erythraea"">Lobophyllia erythraea</a>",nl.wikipedia.org,https://nl.wikipedia.org/wiki/Acanthastrea_erythraea,YAm1tgpAIHwABCtglGIAAADR,mediawiki.recentchange,eqiad.mediawiki.recentchange,2021-01-21T17:11:18Z,0,2887301728,f6acf301-d987-4d7b-85fe-d2c3cb486ffb,866,65,48016794,58091518
0,/mediawiki/recentchange/1.0.0,119689610,edit,0,神楽シリーズ,/* シリーズ作品 */,1611249080,Zaco9876,FALSE,TRUE,,https://ja.wikipedia.org,ja.wikipedia.org,/w,jawiki,"<span dir=""auto""><span class=""autocomment""><a href=""/wiki/%E7%A5%9E%E6%A5%BD%E3%82%B7%E3%83%AA%E3%83%BC%E3%82%BA#シリーズ作品"" title=""神楽シリーズ"">→‎シリーズ作品</a></span></span>",ja.wikipedia.org,https://ja.wikipedia.org/wiki/%E7%A5%9E%E6%A5%BD%E3%82%B7%E3%83%AA%E3%83%BC%E3%82%BA,YAm1uApAMNwAALESd1YAAAEO,mediawiki.recentchange,eqiad.mediawiki.recentchange,2021-01-21T17:11:20Z,0,2887301732,6f36af6f-f84b-421c-bd5d-ebc2eef54f0f,22851,22855,81442784,81442790
0,/mediawiki/recentchange/1.0.0,283652737,edit,0,Nana & Kaoru,Aggiornamento numero volumi pubblicati.,1611249080,Pazio Paz,FALSE,TRUE,TRUE,https://it.wikipedia.org,it.wikipedia.org,/w,itwiki,Aggiornamento numero volumi pubblicati.,it.wikipedia.org,https://it.wikipedia.org/wiki/Nana_%26_Kaoru,YAm1twpAMNYAA9DIVfQAAADK,mediawiki.recentchange,eqiad.mediawiki.recentchange,2021-01-21T17:11:20Z,0,2887301735,ffc41bdc-1bb8-4c1b-af88-cb066687d441,31030,31030,118007674,118137110
0,/mediawiki/recentchange/1.0.0,1389063094,edit,0,Q37914681,"/* wbsetdescription-add:1|bn */ রাশিয়ার একটি দ্বীপ, [[:toollabs:quickstatements/#/batch/48173|batch #48173]]",1611249080,Tahmid02016,FALSE,FALSE,TRUE,https://www.wikidata.org,www.wikidata.org,/w,wikidatawiki,"‎<span dir=""auto""><span class=""autocomment"">[bn] বিবরণ যোগ হয়েছে: </span></span> রাশিয়ার একটি দ্বীপ, <a href=""https://iw.toolforge.org/quickstatements/#.2Fbatch.2F48173"" class=""extiw"" title=""toollabs:quickstatements/"">batch #48173</a>",www.wikidata.org,https://www.wikidata.org/wiki/Q37914681,YAm1uApAMNkAAuD9djEAAACH,mediawiki.recentchange,eqiad.mediawiki.recentchange,2021-01-21T17:11:20Z,0,2887301737,10a1a1da-da51-4991-b248-4f3365d5aaf2,6582,6688,898245132,1345601865
0,/mediawiki/recentchange/1.0.0,1389063100,edit,0,Q9397506,"/* wbsetdescription-add:1|ast */ páxina de dixebra de Wikimedia, [[:toollabs:quickstatements/#/batch/48176|batch #48176]]",1611249081,Amasuela,FALSE,FALSE,TRUE,https://www.wikidata.org,www.wikidata.org,/w,wikidatawiki,"‎<span dir=""auto""><span class=""autocomment"">Amestada la descripción en [ast]: </span></span> páxina de dixebra de Wikimedia, <a href=""https://iw.toolforge.org/quickstatements/#.2Fbatch.2F48176"" class=""extiw"" title=""toollabs:quickstatements/"">batch #48176</a>",www.wikidata.org,https://www.wikidata.org/wiki/Q9397506,YAm1uQpAAE0AAGCtyJ0AAABR,mediawiki.recentchange,eqiad.mediawiki.recentchange,2021-01-21T17:11:21Z,0,2887301741,d5b5f978-775f-4523-8400-61c2bdc5eaba,9749,9841,770181518,1345601880
0,/mediawiki/recentchange/1.0.0,236480169,edit,0,Escuadra de carpintero,/* Estructura de un tejado */,1611249080,Wiki LIC,FALSE,FALSE,,https://es.wikipedia.org,es.wikipedia.org,/w,eswiki,"<span dir=""auto""><span class=""autocomment""><a href=""/wiki/Escuadra_de_carpintero#Estructura_de_un_tejado"" title=""Escuadra de carpintero"">→‎Estructura de un tejado</a></span></span>",es.wikipedia.org,https://es.wikipedia.org/wiki/Escuadra_de_carpintero,YAm1uEK3zo-qgiXOFZDIQwAAANA,mediawiki.recentchange,eqiad.mediawiki.recentchange,2021-01-21T17:11:20Z,0,2887301742,e55da954-173c-45ba-b0ff-dafa7ab886e9,19562,19606,132582524,132582753
0,/mediawiki/recentchange/1.0.0,1389063092,edit,0,Q82767655,"/* wbsetdescription-add:1|de */ chemische Verbindung, [[:toollabs:quickstatements/#/batch/48178|batch #48178]]",1611249080,Ameisenigel,FALSE,FALSE,TRUE,https://www.wikidata.org,www.wikidata.org,/w,wikidatawiki,"‎<span dir=""auto""><span class=""autocomment"">Beschreibung für [de] hinzugefügt: </span></span> chemische Verbindung, <a href=""https://iw.toolforge.org/quickstatements/#.2Fbatch.2F48178"" class=""extiw"" title=""toollabs:quickstatements/"">batch #48178</a>",www.wikidata.org,https://www.wikidata.org/wiki/Q82767655,YAm1twpAAE0AAGCtyCoAAABF,mediawiki.recentchange,eqiad.mediawiki.recentchange,2021-01-21T17:11:20Z,0,2887301745,84fd7790-a65c-4cfc-8487-3448b975610f,2584,2663,1283903930,1345601858
0,/mediawiki/recentchange/1.0.0,1344686594,edit,0,Deepika Mahila Sanghati,"Reverted edits by [[Special:Contributions/2409:4062:19A:5921:CF23:D855:3E3D:2E06|2409:4062:19A:5921:CF23:D855:3E3D:2E06]] ([[User talk:2409:4062:19A:5921:CF23:D855:3E3D:2E06|talk]]): not providing a [[WP:RS|reliable source]] ([[WP:CITE]], [[WP:RS]]) ([[WP:HG|HG]]) (3.4.10)",1611249080,Materialscientist,FALSE,TRUE,,https://en.wikipedia.org,en.wikipedia.org,/w,enwiki,"Reverted edits by <a href=""/wiki/Special:Contributions/2409:4062:19A:5921:CF23:D855:3E3D:2E06"" title=""Special:Contributions/2409:4062:19A:5921:CF23:D855:3E3D:2E06"">2409:4062:19A:5921:CF23:D855:3E3D:2E06</a> (<a href=""/w/index.php?title=User_talk:2409:4062:19A:5921:CF23:D855:3E3D:2E06&amp;action=edit&amp;redlink=1"" class=""new"" title=""User talk:2409:4062:19A:5921:CF23:D855:3E3D:2E06 (page does not exist)"">talk</a>): not providing a <a href=""/wiki/Wikipedia:RS"" class=""mw-redirect"" title=""Wikipedia:RS"">reliable source</a> (<a href=""/wiki/Wikipedia:CITE"" class=""mw-redirect"" title=""Wikipedia:CITE"">WP:CITE</a>, <a href=""/wiki/Wikipedia:RS"" class=""mw-redirect"" title=""Wikipedia:RS"">WP:RS</a>) (<a href=""/wiki/Wikipedia:HG"" class=""mw-redirect"" title=""Wikipedia:HG"">HG</a>) (3.4.10)",en.wikipedia.org,https://en.wikipedia.org/wiki/Deepika_Mahila_Sanghati,YAm1uApAIDsAAAo0OIUAAAFW,mediawiki.recentchange,eqiad.mediawiki.recentchange,2021-01-21T17:11:20Z,0,2887301749,e2f9bacc-068f-4296-b6c1-ef50efc845be,3045,3072,1001844682,1001844794
0,/mediawiki/recentchange/1.0.0,1389063097,edit,0,Q82676830,"/* wbsetdescription-add:1|de */ chemische Verbindung, [[:toollabs:quickstatements/#/batch/48178|batch #48178]]",1611249081,Ameisenigel,FALSE,FALSE,TRUE,https://www.wikidata.org,www.wikidata.org,/w,wikidatawiki,"‎<span dir=""auto""><span class=""autocomment"">Beschreibung für [de] hinzugefügt: </span></span> chemische Verbindung, <a href=""https://iw.toolforge.org/quickstatements/#.2Fbatch.2F48178"" class=""extiw"" title=""toollabs:quickstatements/"">batch #48178</a>",www.wikidata.org,https://www.wikidata.org/wiki/Q82676830,YAm1uApAEDYAAHTuLYQAAABI,mediawiki.recentchange,eqiad.mediawiki.recentchange,2021-01-21T17:11:21Z,0,2887301750,6a7832aa-d5d5-4d4d-b0e1-64123b2ce606,2600,2679,1283906296,1345601872
